order_id	name	order_value	priority	state	order_date	customer_id	ts
13ed2045-a6e0-4a27-8276-8ead51b57475	Run if throw show.	505	LOW	CT	2024-07-15	25ae372d-da1b-40d5-b718-00b248d7b9f2	1722874980.916095
3fc31792-9864-4e8a-869b-0bda0dab29d9	Should impact today.	65	MEDIUM	MH	2024-07-09	d381dd10-0307-4f3d-9a49-748ef8c02b99	1722874980.916283
9564d1a4-3ea0-422b-be4c-841a7deb0fe0	Fly lot foot.	809	LOW	NV	2024-07-21	5c9c4da7-107d-4b3c-a5b1-436023d6f82d	1722874980.916461
2ac08230-5aed-448b-8b4f-3d7255c3d8a3	Professor including.	994	MEDIUM	MI	2024-07-22	01bef7e8-a24e-4370-a1ed-d7f7cbf6367a	1722874980.916624
3718ee4b-dd40-4ca7-b02f-4c38fcaccc96	History day.	884	LOW	MT	2024-07-06	2cce72b4-bb31-42e9-8448-e0409cc8a693	1722874980.916783
9831e422-853b-4151-85f6-282869d22d7b	American civil ball.	128	LOW	CA	2024-07-06	07862e8d-df13-4520-a191-d30cb8a3b2c2	1722874980.916965
15527dc4-a3b5-4083-8970-4cdd768d7a76	Close fall resource.	787	HIGH	RI	2024-07-19	503bb5a5-a418-42e4-b3ee-ae805385da52	1722874980.917139
ed237f6b-de48-42d3-bb66-ca52fe635c71	May certainly much.	160	LOW	FL	2024-07-27	0ac059d1-2fad-4afa-a13f-9513e35532d4	1722874980.917309
95bf6681-c649-485c-8f74-bd7386459ade	Record movement.	532	HIGH	CO	2024-08-02	b2ee866a-bfd8-422a-8e7e-eafba4efad8b	1722874980.917464
6e78cac9-a4d8-4cf2-a4b0-26ac4e422825	Play contain.	764	HIGH	PW	2024-07-29	c1206e82-4a24-43fb-bb5a-cc2be2b1c587	1722874980.917625
21d85a77-934e-4d86-8899-375205acd5e9	Thank onto.	277	LOW	MD	2024-07-29	7c7850c3-69e1-4632-accc-4428bb16e197	1722874980.917784
c87b1549-a34b-4489-a1fd-f07ae806fa73	Build country.	863	LOW	AS	2024-07-06	6636d3fe-a3d2-4d06-87cc-a170a8e11155	1722874980.917949
40de73fa-fffe-447d-a252-4239e11e40ef	Marriage level do.	66	MEDIUM	DE	2024-07-15	279364ed-199d-4e46-ba72-b6a04712a38a	1722874980.918118
210484e7-e828-41b1-b6af-c323f664bc2c	Tough will stop.	817	LOW	SD	2024-07-07	279364ed-199d-4e46-ba72-b6a04712a38a	1722874980.918286
9367047e-17bb-4860-8b78-e8171935119d	Contain capital.	398	HIGH	SD	2024-07-16	4a6792a9-fba9-4a5b-b889-774c71c9100c	1722874980.91844
